file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0826_0209_1325107_to_1326430,དམག་དཔོན་ཆེན་མོས་བཏང་གནང་བའི་ ,dmag dpon chen mos btang gnang ba'i _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0826_0209_1325107_to_1326430.wav,STT_MV,3,30,1.323,wav16k/STT_MV0826_0209_1325107_to_1326430.wav,དམག་དཔོན་ཆེན་མོར་བཏང་གནང་བའི་
STT_MV0826_0210_1326430_to_1327636,བང་ཆེན་འབྱོར་བྲོར་ཡོད་པ་འདྲ།  ,bang chen 'byor bror yod pa 'dra/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0826_0210_1326430_to_1327636.wav,STT_MV,3,30,1.206,wav16k/STT_MV0826_0210_1326430_to_1327636.wav,བང་ཆན་འབྱོར་བྲོར་ཡོད་པ་འདྲ།
STT_MV0941_0211_1515628_to_1520549,དོགས་ཟོན་གཅིག་མེད་པར་གསོོལ་སྟོན་ཡོང་པ་ཡིན་ན། སྒྲའེ་རའ་སྔ་ས་ནས་ཐེངས་མ་མང་པོ་ཤི་ཚར་བ་རེད།  ,dogs zon gcig med par gso+ol ston yong pa yin na/_sgra'e ra' snga sa nas thengs ma mang po shi tshar ba red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0941_0211_1515628_to_1520549.wav,STT_MV,3,89,4.921,wav16k/STT_MV0941_0211_1515628_to_1520549.wav,དོགས་ཟོན་བཅས་མེད་པ་གསོལ་སྟོན་ཡོང་པ་ཡིན་ན། སྒྲའེ་རའ་སྔ་ས་ནས་ཐེངས་མ་མང་པོ་ཕྱི་ཚར་པ་རེད།
STT_MV0941_0234_1657942_to_1660044,ལྟོས་ད། སྒྲའེ་རའ་དོན་ཡོང་གིས།  ,ltos da/_sgra'e ra' don yong gis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0941_0234_1657942_to_1660044.wav,STT_MV,3,31,2.102,wav16k/STT_MV0941_0234_1657942_to_1660044.wav,ལྟོས་ད། སྒྲའེ་རའ་འདོན་ཡོང་གིས།
STT_MV0941_0236_1683300_to_1687657,ཁོ་དྲག་རྩལ་ག་ཚོད་ཡོད་པ་ཡིན་ནས་ཐུན་གཉིས་ཀི་རྗེས་ལ་ ,kho drag rtsal ga tshod yod pa yin nas thun gnyis ki rjes la _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0941_0236_1683300_to_1687657.wav,STT_MV,3,50,4.357,wav16k/STT_MV0941_0236_1683300_to_1687657.wav,ཁོར་དྲག་རྩལ་ག་ཚོད་ཡོད་པ་ཡིན་ནས་ཐུན་གཉིས་ཀི་རྗེས་ལ་
STT_CS-D-2013-M-D-B01-4-R-03_0028_209534_to_212115,ཨ་མ་དེས་ལབ་ཀི་རེད་ད། ག་རེ། ངའི་ཁ་ལག་སུ་ཡིས་སྤྲད་སོང་ལབ་རེད་ད་རཱ།  ,a ma des lab ki red da/_ga re/_nga'i kha lag su yis sprad song lab red da rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2013-M-D-B01-4-R-03_0028_209534_to_212115.wav,STT_CS,3,66,2.581,wav16k/STT_CS-D-2013-M-D-B01-4-R-03_0028_209534_to_212115.wav,ཨ་མ་དེས་ལབ་ཀ་ི་རེད་ད། ག་རེ་ངའི་ཁ་ལག་སུ་ཡིས་སྤྲད་སོང་ལབ་རེད་ད་རཱ།
STT_MV0238_0155_970195_to_972839,རིའི་སྒང་ལ་བརྡ་རྟགས་ཡག་པོ་མེད་ཙང། ཚང་མས་བརྡ་སྤྲོད་ཁ་པར་ཁྱེར་རོགས ,ri'i sgang la brda rtags yag po med tsang/_tshang mas brda sprod kha par khyer rogs_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0238_0155_970195_to_972839.wav,STT_MV,3,65,2.644,wav16k/STT_MV0238_0155_970195_to_972839.wav,ཞིའི་སྒང་ལ་བརྡ་རྟགས་ཡག་པོ་མེད་ཙང་། ཚང་མས་བརྡ་སྤྲོད་ཁ་པར་ཁེར་རོགས།
STT_PC0162_0518_3038361_to_3040601,སྐབས་དང་དུས་དང་དཔགས་པའི་དགོངས་དག་བེད་སྤྱོད་བཏང་ཟེ།  ,skabs dang dus dang dpags pa'i dgongs dag bed spyod btang ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0162_0518_3038361_to_3040601.wav,STT_PC,3,52,2.24,wav16k/STT_PC0162_0518_3038361_to_3040601.wav,སྐབས་དང་དུས་དང་དཔག་པའི་དགོང་དག་བེད་སྤྱོད་བཏང་ཟེ།
STT_PC0162_0526_3084754_to_3087730,འགག་ལ་ཐུབ་དུས་ཁོ་རང་རྦད་གནད་འགག་ཐོབ་ཡོང་དུས་ཙམ་པ་ལ་རྔ་མ་དེ་ཅིག ,'gag la thub dus kho rang rbad gnad 'gag thob yong dus tsam pa la rnga ma de cig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0162_0526_3084754_to_3087730.wav,STT_PC,3,63,2.976,wav16k/STT_PC0162_0526_3084754_to_3087730.wav,འགག་ཐུབ་དུས་ཁོ་རང་རྦད་གནད་འགག་ཐུག་ཡོང་དུས་ཙམ་པ་ལ་སྔ་མ་དེ་ཅིག
STT_MV0826_0250_1582126_to_1583965,རང་ཡུགས་མོ་ཆགས་བྱས།  ,rang yugs mo chags byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0826_0250_1582126_to_1583965.wav,STT_MV,3,21,1.839,wav16k/STT_MV0826_0250_1582126_to_1583965.wav,རང་ཡུགས་མོ་ཆགས་བྱས་
STT_MV0826_0247_1572605_to_1577180,མ་གཞི་ནས་རང་གི་ཁྱོ་ག་སྲོག་འབེན་ལ་བཙུགས་བྱས་མི་ཚེ་སྐྱེལ་མྱི་གི་མི་རེད།  ,ma gzhi nas rang gi khyo ga srog 'ben la btsugs byas mi tshe skyel myi gi mi red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0826_0247_1572605_to_1577180.wav,STT_MV,3,71,4.575,wav16k/STT_MV0826_0247_1572605_to_1577180.wav,མ་གཞི་ནས་རང་གི་ཁྱོ་ག་སྲོག་འབེན་ལ་བཙུགས་བྱས་ མི་ཚེ་སྐྱེལ་མྱི་གི་མི་རེད།
STT_CS-D-2015-M-D-B02-3-R-04_0039_291296_to_296898,བུ་དེའི་ཁོ་ཀ་ཅི་སྐྱེས་དམན་འདི་ཤི་རེད་ད། ཨེ་ནས་ཁོ་ཀ་ཅི། ངའི་ཀ་ཅི་ཁྱོ་ག་འདི་ཁོ་ཡིས་ཤི་སོང་ལབ་རེད་ད་རཱ། ཨེ་ནས་ཁོང་ཚོ།  ,bu de'i kho ka ci skyes dman 'di shi red da/_e nas kho ka ci/_nga'i ka ci khyo ga 'di kho yis shi song lab red da rA/_e nas khong tsho/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2015-M-D-B02-3-R-04_0039_291296_to_296898.wav,STT_CS,3,116,5.602,wav16k/STT_CS-D-2015-M-D-B02-3-R-04_0039_291296_to_296898.wav,བུ་དེ། ཁོ་ཀ་ཅི་སྐྱེས་དམན་དེ་ཤི་རེད་ད། ཨ་ནས་ཁོ་ཀ། ངའི་ཀ་ཅི་ཁྱོ་ཀ་དུ་ཁོ་ཤི་སོང་ལབ་རེད་ད་རཱ། ཨ་ནས་ཁོང་ཚོ།
STT_PC0162_0510_2987508_to_2991796,དེ་ཚོ་ང་ཚོས་ནམ་རྒྱུན་བསམ་བློ་བཏང་བྱས། བསམ་བློ་བ་ཟེར་ཡ་དེ་ལ་སྟོབས་ཤུགས་ཞེ་དྲག་ཡོད་རེད།  ,de tsho nga tshos nam rgyun bsam blo btang byas/_bsam blo ba zer ya de la stobs shugs zhe drag yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0162_0510_2987508_to_2991796.wav,STT_PC,3,87,4.288,wav16k/STT_PC0162_0510_2987508_to_2991796.wav,དེ་ཚོ་ང་ཚོས་ནམ་རྒྱུན་བསམ་བློ་བཏང་བྱས། བསམ་བློ་ཟེར་ཡ་དེ་ལ་སྟོབས་ཤུགས་ཞེ་དྲག་ཡོད་རེད།
STT_MV0826_0267_1691015_to_1696088,སྤུན་གྲོགས་བཟང་པོ་གཅེན་པོ་ང་མི་ཚེ་འདིར།  ,spun grogs bzang po gcen po nga mi tshe 'dir/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0826_0267_1691015_to_1696088.wav,STT_MV,3,41,5.073,wav16k/STT_MV0826_0267_1691015_to_1696088.wav,སྤུན་གྲོགས་བཟང་པོ་གཅེན་པོ་ང་མི་ཚེ་འདིར་
STT_PC0162_0530_3102967_to_3106231,ཨ་དེ་རྔ་མ་དེ་དེ་གཡུག་སོང་ཟེར་མྱི། རྔ་མ་ཆད་སོང་ཟེར་མྱི་བཟོ་འདྲ་བྱེད་དུས།  ,a de rnga ma de de g.yug song zer myi/_rnga ma chad song zer myi bzo 'dra byed dus/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0162_0530_3102967_to_3106231.wav,STT_PC,3,73,3.264,wav16k/STT_PC0162_0530_3102967_to_3106231.wav,ཨ་དེ་རྔ་མ་དེ་དེར་གཡུག་སོང་ཟེར་མྱི། སྔ་མ་ཆད་སོང་ཟེར་མྱི་ཟོལ་ར་བྱེད་དུས།
STT_PC0162_0512_3001527_to_3005537,ཚིག་གཅིག་གིས་མི་གཅིག་ཤི་ཁ་ལ་མོ་ཆགས་བསྡད་ཡོད་དུས་ཙམ་པ་ལ་ཡང་། ཚུར་བཀུག་ཐུབ་ཀི་རེད་བ་ང་ཚོས།  ,tshig gcig gis mi gcig shi kha la mo chags bsdad yod dus tsam pa la yang /_tshur bkug thub ki red ba nga tshos/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0162_0512_3001527_to_3005537.wav,STT_PC,3,90,4.01,wav16k/STT_PC0162_0512_3001527_to_3005537.wav,ཚིག་གཅིག་གི་མི་གཅིག་ཤི་ཁ་ལ་མོ་ཆགས་བསྡད་ཡོད་དུས་ཙམ་པ་ལ་ཡང་། ཚུར་བཀུག་ཐུབ་ཀི་རེད་བ་ང་ཚོས།
